Ax,Ay,Az,Gx,Gy,Gz,Label
0.49549774887443715,0.4901175881911435,0.7530647985989494,0.5005807768107854,0.49426199487242095,0.5005650801402236,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.500610426077402,0.49415560632750233,0.5004883408619216,0
0.49549774887443715,0.48986740055041295,0.7530647985989494,0.5006557720145804,0.49418525559411897,0.5004429949247432,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006261227479638,0.49415560632750233,0.5005650801402236,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006714686851422,0.49420095226468075,0.5005807768107854,0
0.49549774887443715,0.4901175881911435,0.7525644233174882,0.500687165355704,0.49413990965694055,0.5005650801402236,0
0.49549774887443715,0.48986740055041295,0.7530647985989494,0.5005807768107854,0.49421664893524253,0.5005807768107854,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006418194185256,0.49410851631581704,0.5005650801402236,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006714686851422,0.49417130299806405,0.5004726441913598,0
0.49549774887443715,0.4896172129096824,0.7528146109582188,0.5005807768107854,0.49417130299806405,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5007482079634442,0.49427769154298273,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7525644233174882,0.500610426077402,0.49412421298637876,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.500610426077402,0.49424629820185917,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006714686851422,0.49417130299806405,0.5004429949247432,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5007168146223206,0.49417130299806405,0.5005040375324834,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006557720145804,0.49420095226468075,0.5005197342030452,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5007935539006226,0.49415560632750233,0.5004429949247432,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49420095226468075,0.5005650801402236,0
0.49499749874937465,0.4901175881911435,0.7530647985989494,0.5005807768107854,0.49412421298637876,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5006418194185256,0.49415560632750233,0.5005807768107854,0
0.4952476238119059,0.48986740055041295,0.7533149862396799,0.500610426077402,0.49426199487242095,0.5005493834696618,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5005807768107854,0.49423234560580426,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5005807768107854,0.49417130299806405,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5006261227479638,0.49421664893524253,0.5005650801402236,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5005807768107854,0.49417130299806405,0.5005040375324834,0
0.49574787393696845,0.4901175881911435,0.7528146109582188,0.5007028620262658,0.49410851631581704,0.5005493834696618,0
0.4952476238119059,0.4901175881911435,0.7533149862396799,0.5006557720145804,0.49423234560580426,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006418194185256,0.49421664893524253,0.5004726441913598,0
0.4952476238119059,0.4901175881911435,0.7533149862396799,0.500610426077402,0.49410851631581704,0.5004272982541814,0
0.49574787393696845,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49424629820185917,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49420095226468075,0.5005336867991,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5005650801402236,0.49423234560580426,0.5005040375324834,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49413990965694055,0.5005040375324834,0
0.49574787393696845,0.4901175881911435,0.7530647985989494,0.5006261227479638,0.49420095226468075,0.5005040375324834,0
0.49499749874937465,0.48986740055041295,0.7528146109582188,0.5006261227479638,0.49418525559411897,0.5005493834696618,0
0.49549774887443715,0.490367775831874,0.7525644233174882,0.5005807768107854,0.49423234560580426,0.5005650801402236,0
0.49499749874937465,0.4901175881911435,0.7525644233174882,0.5006714686851422,0.49412421298637876,0.5004272982541814,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49413990965694055,0.5005650801402236,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006557720145804,0.49413990965694055,0.5005650801402236,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49421664893524253,0.5005040375324834,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5006261227479638,0.49418525559411897,0.5005197342030452,0
0.49574787393696845,0.4901175881911435,0.7525644233174882,0.5006418194185256,0.49417130299806405,0.5004429949247432,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006261227479638,0.49420095226468075,0.5005040375324834,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5006714686851422,0.49418525559411897,0.5005336867991,0
0.49549774887443715,0.490367775831874,0.7523142356767576,0.5006261227479638,0.49417130299806405,0.5005336867991,0
0.49549774887443715,0.4896172129096824,0.7528146109582188,0.5006714686851422,0.49412421298637876,0.5005493834696618,0
0.49549774887443715,0.490367775831874,0.7525644233174882,0.500687165355704,0.49413990965694055,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7530647985989494,0.5005947294068402,0.49418525559411897,0.5005336867991,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006714686851422,0.49415560632750233,0.5005040375324834,0
0.49574787393696845,0.4901175881911435,0.7528146109582188,0.5005807768107854,0.49418525559411897,0.5005197342030452,0
0.4952476238119059,0.48986740055041295,0.7530647985989494,0.500610426077402,0.49420095226468075,0.5005040375324834,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49423234560580426,0.5005807768107854,0
0.4952476238119059,0.4896172129096824,0.7533149862396799,0.500610426077402,0.49417130299806405,0.5005493834696618,0
0.49549774887443715,0.48986740055041295,0.7525644233174882,0.5006714686851422,0.49421664893524253,0.5005040375324834,0
0.4952476238119059,0.490367775831874,0.7525644233174882,0.5005650801402236,0.49418525559411897,0.5004726441913598,0
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.5006714686851422,0.49417130299806405,0.5004726441913598,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5007325112928824,0.49421664893524253,0.5005040375324834,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5006714686851422,0.49427769154298273,0.5003976489875648,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5007028620262658,0.49412421298637876,0.5005040375324834,0
0.49549774887443715,0.4906179634726046,0.7530647985989494,0.5005650801402236,0.49417130299806405,0.5003976489875648,0
0.49549774887443715,0.48986740055041295,0.7530647985989494,0.5005493834696618,0.49418525559411897,0.5005493834696618,0
0.49574787393696845,0.4901175881911435,0.7525644233174882,0.5005947294068402,0.49413990965694055,0.5005493834696618,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5005493834696618,0.49418525559411897,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49418525559411897,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49420095226468075,0.5004116015836196,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006418194185256,0.49415560632750233,0.5005947294068402,0
0.49549774887443715,0.4901175881911435,0.7525644233174882,0.500610426077402,0.49423234560580426,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.500687165355704,0.49417130299806405,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.5006418194185256,0.49420095226468075,0.5004883408619216,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006714686851422,0.49423234560580426,0.5005650801402236,0
0.4952476238119059,0.48986740055041295,0.7530647985989494,0.5006557720145804,0.49415560632750233,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.500610426077402,0.49418525559411897,0.5004429949247432,0
0.49574787393696845,0.4901175881911435,0.7530647985989494,0.5006714686851422,0.49421664893524253,0.5004726441913598,0
0.49574787393696845,0.4901175881911435,0.7525644233174882,0.5006714686851422,0.49415560632750233,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5007028620262658,0.49420095226468075,0.5004726441913598,0
0.4952476238119059,0.48986740055041295,0.7525644233174882,0.5007028620262658,0.49423234560580426,0.5005040375324834,0
0.49549774887443715,0.48986740055041295,0.7525644233174882,0.5006714686851422,0.49415560632750233,0.5004883408619216,0
0.49549774887443715,0.4901175881911435,0.7530647985989494,0.5006714686851422,0.49421664893524253,0.5004726441913598,0
0.49549774887443715,0.4901175881911435,0.7525644233174882,0.5006418194185256,0.49423234560580426,0.5005493834696618,0
0.4952476238119059,0.48986740055041295,0.7533149862396799,0.5005807768107854,0.49418525559411897,0.5005336867991,0
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006714686851422,0.49412421298637876,0.5004726441913598,0
0.49549774887443715,0.4901175881911435,0.7530647985989494,0.5007028620262658,0.49423234560580426,0.5004883408619216,0
0.49574787393696845,0.4901175881911435,0.7525644233174882,0.5006557720145804,0.49415560632750233,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5006557720145804,0.49420095226468075,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49413990965694055,0.5006261227479638,0
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.5006418194185256,0.49413990965694055,0.5005807768107854,0
0.49549774887443715,0.48986740055041295,0.7530647985989494,0.5007028620262658,0.49420095226468075,0.5005650801402236,0
0.4952476238119059,0.48986740055041295,0.7530647985989494,0.5005807768107854,0.49413990965694055,0.5005650801402236,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49423234560580426,0.5005493834696618,0
0.49549774887443715,0.48986740055041295,0.7530647985989494,0.500687165355704,0.49415560632750233,0.5005650801402236,0
0.49574787393696845,0.48986740055041295,0.7525644233174882,0.5005807768107854,0.49412421298637876,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49421664893524253,0.5005493834696618,0
0.49549774887443715,0.48986740055041295,0.7523142356767576,0.5005947294068402,0.49415560632750233,0.5004883408619216,0
0.4959979989994997,0.490367775831874,0.7530647985989494,0.5006418194185256,0.49421664893524253,0.5006261227479638,0
0.49499749874937465,0.4896172129096824,0.7528146109582188,0.5006261227479638,0.49412421298637876,0.5004569475207981,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49415560632750233,0.5004569475207981,0
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.500610426077402,0.49413990965694055,0.5005336867991,0
0.49549774887443715,0.4901175881911435,0.7530647985989494,0.500610426077402,0.49417130299806405,0.5005336867991,0
0.4952476238119059,0.48986740055041295,0.7525644233174882,0.500687165355704,0.49429164413903764,0.5005040375324834,0
0.49549774887443715,0.4901175881911435,0.7523142356767576,0.5005807768107854,0.49429164413903764,0.5004883408619216,0
0.4952476238119059,0.490367775831874,0.7528146109582188,0.500687165355704,0.49415560632750233,0.5005493834696618,0
0.49574787393696845,0.48986740055041295,0.7528146109582188,0.5006261227479638,0.49420095226468075,0.5005650801402236,0
0.49549774887443715,0.48986740055041295,0.7525644233174882,0.5006714686851422,0.49410851631581704,0.5005197342030452,0
0.49549774887443715,0.48986740055041295,0.7525644233174882,0.5006261227479638,0.49421664893524253,0.5005650801402236,0
0.4952476238119059,0.490367775831874,0.7525644233174882,0.5005947294068402,0.49418525559411897,0.5005040375324834,0
0.4952476238119059,0.48986740055041295,0.7530647985989494,0.5006261227479638,0.49418525559411897,0.5005040375324834,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49413990965694055,0.5005040375324834,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49418525559411897,0.5005040375324834,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006261227479638,0.49423234560580426,0.5004429949247432,0
0.49499749874937465,0.48986740055041295,0.7535651738804104,0.500687165355704,0.49417130299806405,0.5005336867991,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49420095226468075,0.5004272982541814,0
0.4952476238119059,0.48986740055041295,0.7528146109582188,0.5007028620262658,0.49412421298637876,0.5005336867991,0
0.49574787393696845,0.48986740055041295,0.7525644233174882,0.5005947294068402,0.49415560632750233,0.5005197342030452,0
0.49549774887443715,0.48986740055041295,0.7525644233174882,0.5006714686851422,0.49418525559411897,0.5004883408619216,0
0.49549774887443715,0.490367775831874,0.7525644233174882,0.500687165355704,0.49413990965694055,0.5004883408619216,0
0.49499749874937465,0.4896172129096824,0.7533149862396799,0.5005650801402236,0.49421664893524253,0.5005493834696618,0
0.4959979989994997,0.490367775831874,0.7523142356767576,0.5006557720145804,0.49417130299806405,0.5005040375324834,0
0.49499749874937465,0.48986740055041295,0.7528146109582188,0.5006557720145804,0.49410851631581704,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005807768107854,0.49415560632750233,0.5005947294068402,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.49412421298637876,0.5005197342030452,0
0.4952476238119059,0.490367775831874,0.7528146109582188,0.5006714686851422,0.49415560632750233,0.5005197342030452,0
0.49549774887443715,0.4901175881911435,0.7525644233174882,0.5005947294068402,0.49420095226468075,0.5005040375324834,0
0.49549774887443715,0.490367775831874,0.7530647985989494,0.5006714686851422,0.49424629820185917,0.5004883408619216,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006557720145804,0.49420095226468075,0.5005040375324834,0
0.49549774887443715,0.4896172129096824,0.7528146109582188,0.5006714686851422,0.49421664893524253,0.5005336867991,0
0.49574787393696845,0.490367775831874,0.7528146109582188,0.5007028620262658,0.49418525559411897,0.5005197342030452,0
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006714686851422,0.49417130299806405,0.5004726441913598,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.5006557720145804,0.49418525559411897,0.5004116015836196,0
0.49549774887443715,0.48986740055041295,0.7528146109582188,0.5005650801402236,0.49418525559411897,0.5004883408619216,0
0.49549774887443715,0.4901175881911435,0.7528146109582188,0.500610426077402,0.49421664893524253,0.5005493834696618,0
0.49499749874937465,0.48986740055041295,0.7528146109582188,0.5006418194185256,0.49413990965694055,0.5005197342030452,0
0.49574787393696845,0.4901175881911435,0.7528146109582188,0.5005493834696618,0.49413990965694055,0.5004569475207981,0
0.49549774887443715,0.490367775831874,0.7525644233174882,0.5005947294068402,0.49423234560580426,0.5005650801402236,0
